Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
2006-09-18,2.6357,"2,635,714",2.6389,"2,638,929",2.6169,0.9411832526,0.0464,0.0220,11275.5899
2006-09-19,2.6464,"2,646,429",2.6346,"2,634,643",2.6225,0.8176532595,0.0489,0.0121,14357.7666
2006-09-20,2.6564,"2,656,429",2.6879,"2,687,857",2.6289,0.7470599862,0.0454,0.0590,18271.5556
2006-09-21,2.6875,"2,687,500",2.6661,"2,666,071",2.6430,1,0.0939,0.0231,19858.3384
2006-09-22,2.6536,"2,653,571",2.6071,"2,607,143",2.6533,0.5905964596,0.0161,0.0461,22498.6664
2006-09-25,2.6361,"2,636,071",2.7054,"2,705,357",2.6471,0,-0.0418,0.0582,26558.5719
2006-09-26,2.7207,"2,720,714",2.7718,"2,771,786",2.6552,1,0.0589,0.1166,27452.5553
2006-09-27,2.7561,"2,756,071",2.7289,"2,728,929",2.6731,1,0.1329,0.0558,22200.4993
2006-09-28,2.7507,"2,750,714",2.7504,"2,750,357",2.6860,0.7396974059,0.0943,0.0644,20273.1926
2006-09-29,2.7539,"2,753,929",2.7493,"2,749,286",2.7025,0.8698456661,0.0625,0.0468,17879.8735
2006-10-02,2.6821,"2,682,143",2.6736,"2,673,571",2.7113,0.8633406826,0.0832,0.0377,18470.0719
2006-10-03,2.6589,"2,658,929",2.6457,"2,645,714",2.7123,0.403466895,0.0664,0.0666,17843.8371
2006-10-04,2.6464,"2,646,429",2.6921,"2,692,143",2.7179,0,-0.0596,0.0257,17058.0486
2006-10-05,2.6618,"2,661,786",2.6725,"2,672,500",2.7160,0.3682736849,-0.0796,0.0435,18385.5797
2006-10-06,2.6579,"2,657,857",2.6507,"2,650,714",2.7018,0.2559750772,-0.0564,0.0511,22216.5818
2006-10-09,2.6357,"2,635,714",2.6654,"2,665,357",2.6906,0.04778150474,-0.0996,0.0253,22437.3653
2006-10-10,2.6621,"2,662,143",2.6361,"2,636,071",2.6785,0.1896555053,-0.0839,0.0424,25282.7188
2006-10-11,2.6221,"2,622,143",2.6154,"2,615,357",2.6623,0,-0.0375,0.0469,25507.3490
2006-10-12,2.6289,"2,628,929",2.6879,"2,687,857",2.6540,0,-0.0304,0.0339,24648.8385
2006-10-13,2.7011,"2,701,072",2.6793,"2,679,286",2.6600,0.9441825333,-0.0043,0.0193,27716.0651
2006-10-16,2.6854,"2,685,357",2.6929,"2,692,857",2.6582,0.8817793103,0.0068,0.0347,28375.6841
2006-10-17,2.6800,"2,680,000",2.6532,"2,653,214",2.6611,1,0.0421,0.0079,29390.0190
2006-10-18,2.6696,"2,669,643",2.6618,"2,661,786",2.6614,0.4884774194,-0.0121,0.0004,35433.9114
2006-10-19,2.8307,"2,830,714",2.8211,"2,821,071",2.6609,0.599083871,0.0257,0.1602,40184.4246
2006-10-20,2.8204,"2,820,357",2.8554,"2,855,357",2.6873,1,0.2057,0.1680,24820.1460
2006-10-23,2.8568,"2,856,786",2.9093,"2,909,286",2.7216,1,0.1675,0.1877,17963.0772
2006-10-24,2.9004,"2,900,357",2.8946,"2,894,643",2.7533,1,0.2300,0.1414,13337.3602
2006-10-25,2.9054,"2,905,357",2.9171,"2,917,143",2.7840,0.942816864,0.2018,0.1331,11134.4885
2006-10-26,2.9250,"2,925,000",2.9354,"2,935,357",2.8161,1,0.2639,0.1193,9874.5020
